treatment,n,outcome_rate,treatment_rate,mean_cate,std_cate,min_cate,max_cate,num_observed_confounders,num_missing_graph_candidates,observed_confounders,missing_graph_candidates,cate_csv_path
ChronicRisk,11988,0.1423923923923924,0.5296963630296964,3.3072975227456607,22.565385493318487,-86.17351203123143,138.41016619161823,1,0,Age,,./cate_outputs\ChronicRisk\cate.csv
RenalFail,11988,0.1423923923923924,0.23239906573239907,0.13675910135002473,0.04117770239806321,0.019365507521551178,0.27952936408584533,1,0,Severity,,./cate_outputs\RenalFail\cate.csv
HepFail,11988,0.1423923923923924,0.1698365031698365,0.11644944390509553,0.0636707356683327,-0.08289514459242113,0.31754764257260343,1,0,Severity,,./cate_outputs\HepFail\cate.csv
Metab,11988,0.1423923923923924,0.5620620620620621,0.08549398161878088,0.029949477787649715,-0.029592962771404132,0.22483417563262312,1,0,Severity,,./cate_outputs\Metab\cate.csv
AcuteInsult,11988,0.1423923923923924,0.6322989656322989,0.07165075855126342,0.0391648920537867,-0.006623142189726769,0.2329366123024768,0,0,,,./cate_outputs\AcuteInsult\cate.csv
Severity,11988,0.1423923923923924,0.4494494494494494,0.0680105082277554,0.03640249294019579,-0.057013582149072047,0.2212257203231904,1,0,Age,,./cate_outputs\Severity\cate.csv
Inflam,11988,0.1423923923923924,0.8662829496162829,0.056648164031407953,0.03288817387826909,-0.07480125216381275,0.17819505841490033,1,0,Severity,,./cate_outputs\Inflam\cate.csv
NeuroFail,11988,0.1423923923923924,0.6745078411745078,0.053724686016280956,0.06461570653797949,-0.13195765002830148,0.33969288957377863,1,0,Severity,,./cate_outputs\NeuroFail\cate.csv
RespFail,11988,0.1423923923923924,0.6745078411745078,0.046921494196906714,0.06004159248811601,-0.11019045527913293,0.30492264845594436,1,0,Severity,,./cate_outputs\RespFail\cate.csv
Shock,11988,0.1423923923923924,0.6425592258925592,0.0032519095723315635,0.0376391558084955,-0.11043623810448729,0.1348481288067546,2,0,"CardInj, Severity",,./cate_outputs\Shock\cate.csv
HemeFail,11988,0.1423923923923924,0.6599933266599933,-0.004856196235854841,0.05027493705237941,-0.22716435512778135,0.12168231243085775,1,0,Severity,,./cate_outputs\HemeFail\cate.csv
